id,code,platform,total,average,std_deviation,ucl,date,second_notify,valid
189,5356,1.0,572,281,100,532.63,27/3/2019 18:14,no,no
190,5356,0.0,132,56,25,118.52,27/3/2019 18:15,no,no
191,1249,0.0,80,40,14,75.32,27/3/2019 14:19,no,no
349,103,1.0,170,60,44,168.86,27/3/2019 22:26,no,no
352,1249,0.0,610,269,125,582.14,27/3/2019 22:26,no,no
356,5344,0.0,182,64,45,177.29,27/3/2019 22:26,no,no
357,5344,0.0,941,293,238,888.03,27/3/2019 22:26,no,no
374,1233,1.0,95,37,18,82.74,28/3/2019 18:19,no,no
532,5356,1.0,160,44,45,157.57,31/3/2019 19:30,no,no
545,2102,1.0,62,8,19,55.99,1/4/2019 8:45,no,no
546,7214,1.0,108,12,30,87.54,1/4/2019 8:45,no,no
547,1876,0.0,75,21,19,69.05,1/4/2019 10:30,no,no
548,9204,1.0,170,22,52,151.49,1/4/2019 11:15,no,no
549,9204,1.0,53,5,15,43.48,1/4/2019 11:45,no,no
550,2075,0.0,113,22,34,106.43,1/4/2019 12:45,no,no
551,5103,0.0,1315,411,359,1307.92,1/4/2019 12:45,no,no
553,2051,1.0,70,6,21,58.43,1/4/2019 13:30,no,no
554,8126,1.0,88,9,30,82.95,1/4/2019 13:30,no,no
558,1255,1.0,70,8,15,46.19,1/4/2019 14:15,no,no
559,5103,1.0,66,24,16,64.58,1/4/2019 14:15,no,no
573,10103,1.0,134,63,27,130.38,1/4/2019 15:30,no,no
574,10103,0.0,135,39,33,121.64,1/4/2019 15:30,no,no
601,10103,1.0,115,49,26,113.23,1/4/2019 17:31,no,no
633,10103,1.0,811,239,198,733.94,1/4/2019 21:16,no,no
634,10103,1.0,115,37,30,110.51,1/4/2019 21:16,no,no
635,10103,1.0,57,20,11,47.7,1/4/2019 21:16,no,no
642,1225,0.0,77,21,19,68.57,1/4/2019 21:30,no,no
643,1234,0.0,122,61,24,120.64,1/4/2019 21:30,no,no
644,1249,0.0,363,188,67,354.62,1/4/2019 21:30,no,no
645,1249,0.0,111,30,31,107.23,1/4/2019 21:30,no,no
646,1249,0.0,174,58,44,168.91,1/4/2019 21:30,no,no
647,1644,0.0,564,225,119,523.22,1/4/2019 21:30,no,no
648,2075,0.0,50,6,14,40.77,1/4/2019 21:30,no,no
649,2102,0.0,439,82,104,340.85,1/4/2019 21:31,no,no
650,2104,0.0,132,11,42,116.36,1/4/2019 21:31,no,no
651,2115,0.0,97,51,16,91.19,1/4/2019 21:31,no,no
652,2115,0.0,68,22,18,66.17,1/4/2019 21:31,no,no
653,5104,0.0,240,102,43,208.84,1/4/2019 21:31,no,no
654,5344,0.0,111,21,23,77.84,1/4/2019 21:31,no,no
655,5344,0.0,2231,1218,364,2128.04,1/4/2019 21:31,no,no
656,5344,0.0,327,180,58,324.78,1/4/2019 21:31,no,no
657,5382,0.0,517,309,63,466.07,1/4/2019 21:31,no,no
658,5393,0.0,141,76,24,135.43,1/4/2019 21:31,no,no
659,5411,0.0,103,60,15,98,1/4/2019 21:31,no,no
660,6467,0.0,1982,734,470,1910.48,1/4/2019 21:31,no,no
661,7214,0.0,626,290,113,573.15,1/4/2019 21:31,no,no
662,9116,0.0,66,4,1,6.97,1/4/2019 21:31,no,no
663,10103,0.0,601,253,132,581.65,1/4/2019 21:32,no,no
664,10103,0.0,62,21,16,61.42,1/4/2019 21:32,no,no
677,103,1.0,83,27,16,67.81,2/4/2019 10:00,no,no
678,103,1.0,159,55,35,142.02,2/4/2019 10:00,no,no
679,5356,0.0,175,68,40,167.56,2/4/2019 10:00,no,no
680,1366,0.0,2714,715,721,2517.19,2/4/2019 12:00,no,no
681,103,1.0,2135,860,467,2028.54,2/4/2019 15:00,no,no
682,103,1.0,2673,1008,620,2558.15,2/4/2019 15:00,no,no
683,103,1.0,351,126,83,331.97,2/4/2019 15:00,no,no
684,103,1.0,242,79,59,227.12,2/4/2019 15:00,no,no
685,1155,0.0,95,45,18,90.3,2/4/2019 15:00,no,no
686,2085,0.0,166,78,31,156.7,2/4/2019 15:00,no,no
687,5356,1.0,871,362,199,859.52,2/4/2019 15:00,no,no
688,5356,1.0,144,24,44,133.17,2/4/2019 15:00,no,no
689,5356,0.0,213,84,47,200.26,2/4/2019 15:00,no,no
690,5356,1.0,1048,411,225,974.38,2/4/2019 15:00,no,no
691,5356,0.0,320,108,73,290.37,2/4/2019 15:00,no,no
692,5356,1.0,585,165,158,561.52,2/4/2019 15:00,no,no
721,2075,0.0,80,15,22,69.89,3/4/2019 10:00,no,no
722,2075,0.0,147,30,46,144.64,3/4/2019 12:00,no,no
723,6473,0.0,84,11,22,65.29,3/4/2019 12:00,no,no
724,9204,1.0,63,9,20,59.55,3/4/2019 15:00,no,no
725,10102,0.0,294,114,49,237.16,3/4/2019 16:00,no,no
726,10102,0.0,442,165,74,349.59,3/4/2019 16:00,no,no
727,10102,0.0,813,161,126,475.41,3/4/2019 16:00,no,no
728,10102,0.0,535,174,79,372.83,3/4/2019 16:00,no,no
729,10103,1.0,127,42,33,125.83,3/4/2019 17:00,no,no
730,2102,0.0,743,111,160,510.76,4/4/2019 8:02,no,yes
731,2104,0.0,220,19,63,176.32,4/4/2019 8:02,no,no
732,9116,0.0,121,9,37,102.85,4/4/2019 8:02,no,yes
